[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 8.009653 seconds
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.742703 seconds.
[LightGBM] [Info] Iteration:21, valid_1 ndcg@10 : 0.775382
[LightGBM] [Info] 6.809549 seconds elapsed, finished iteration 21
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:22, valid_1 ndcg@1 : 0.713068
[LightGBM] [Info] Iteration:22, valid_1 ndcg@3 : 0.713689
[LightGBM] [Info] Iteration:22, valid_1 ndcg@5 : 0.733004
[LightGBM] [Info] Iteration:22, valid_1 ndcg@10 : 0.776332
[LightGBM] [Info] 7.078712 seconds elapsed, finished iteration 22
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:23, valid_1 ndcg@1 : 0.712278
[LightGBM] [Info] Iteration:23, valid_1 ndcg@3 : 0.714187
[LightGBM] [Info] Iteration:23, valid_1 ndcg@5 : 0.733452
[LightGBM] [Info] Iteration:23, valid_1 ndcg@10 : 0.776181
[LightGBM] [Info] 7.339512 seconds elapsed, finished iteration 23
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:24, valid_1 ndcg@1 : 0.713458
[LightGBM] [Info] Iteration:24, valid_1 ndcg@3 : 0.714396
[LightGBM] [Info] Iteration:24, valid_1 ndcg@5 : 0.733714
[LightGBM] [Info] Iteration:24, valid_1 ndcg@10 : 0.776929
[LightGBM] [Info] 7.593920 seconds elapsed, finished iteration 24
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:25, valid_1 ndcg@1 : 0.713557
[LightGBM] [Info] Iteration:25, valid_1 ndcg@3 : 0.715301
[LightGBM] [Info] Iteration:25, valid_1 ndcg@5 : 0.733812
[LightGBM] [Info] Iteration:25, valid_1 ndcg@10 : 0.777183
[LightGBM] [Info] 7.849807 seconds elapsed, finished iteration 25
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:26, valid_1 ndcg@1 : 0.714578
[LightGBM] [Info] Iteration:26, valid_1 ndcg@3 : 0.715934
[LightGBM] [Info] Iteration:26, valid_1 ndcg@5 : 0.734241
[LightGBM] [Info] Iteration:26, valid_1 ndcg@10 : 0.777746
[LightGBM] [Info] 8.107531 seconds elapsed, finished iteration 26
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:27, valid_1 ndcg@1 : 0.712251
[LightGBM] [Info] Iteration:27, valid_1 ndcg@3 : 0.715601
[LightGBM] [Info] Iteration:27, valid_1 ndcg@5 : 0.734217
[LightGBM] [Info] Iteration:27, valid_1 ndcg@10 : 0.777741
[LightGBM] [Info] 8.362777 seconds elapsed, finished iteration 27
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:28, valid_1 ndcg@1 : 0.714115
[LightGBM] [Info] Iteration:28, valid_1 ndcg@3 : 0.71646
[LightGBM] [Info] Iteration:28, valid_1 ndcg@5 : 0.73501
[LightGBM] [Info] Iteration:28, valid_1 ndcg@10 : 0.778186
[LightGBM] [Info] 8.625135 seconds elapsed, finished iteration 28
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:29, valid_1 ndcg@1 : 0.71516
[LightGBM] [Info] Iteration:29, valid_1 ndcg@3 : 0.716787
[LightGBM] [Info] Iteration:29, valid_1 ndcg@5 : 0.735245
[LightGBM] [Info] Iteration:29, valid_1 ndcg@10 : 0.778705
[LightGBM] [Info] 8.886093 seconds elapsed, finished iteration 29
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:30, valid_1 ndcg@1 : 0.71494
[LightGBM] [Info] Iteration:30, valid_1 ndcg@3 : 0.717403
[LightGBM] [Info] Iteration:30, valid_1 ndcg@5 : 0.735564
[LightGBM] [Info] Iteration:30, valid_1 ndcg@10 : 0.77902
[LightGBM] [Info] 9.130846 seconds elapsed, finished iteration 30
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:31, valid_1 ndcg@1 : 0.716181
[LightGBM] [Info] Iteration:31, valid_1 ndcg@3 : 0.718039
[LightGBM] [Info] Iteration:31, valid_1 ndcg@5 : 0.736305
[LightGBM] [Info] Iteration:31, valid_1 ndcg@10 : 0.77937
[LightGBM] [Info] 9.393408 seconds elapsed, finished iteration 31
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:32, valid_1 ndcg@1 : 0.716696
[LightGBM] [Info] Iteration:32, valid_1 ndcg@3 : 0.718537
[LightGBM] [Info] Iteration:32, valid_1 ndcg@5 : 0.73649
[LightGBM] [Info] Iteration:32, valid_1 ndcg@10 : 0.779702
[LightGBM] [Info] 9.648802 seconds elapsed, finished iteration 32
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:33, valid_1 ndcg@1 : 0.716872
[LightGBM] [Info] Iteration:33, valid_1 ndcg@3 : 0.718745
[LightGBM] [Info] Iteration:33, valid_1 ndcg@5 : 0.736466
[LightGBM] [Info] Iteration:33, valid_1 ndcg@10 : 0.780122
[LightGBM] [Info] 9.913715 seconds elapsed, finished iteration 33
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:34, valid_1 ndcg@1 : 0.71834
[LightGBM] [Info] Iteration:34, valid_1 ndcg@3 : 0.719208
[LightGBM] [Info] Iteration:34, valid_1 ndcg@5 : 0.737435
[LightGBM] [Info] Iteration:34, valid_1 ndcg@10 : 0.78081
[LightGBM] [Info] 10.192541 seconds elapsed, finished iteration 34
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:35, valid_1 ndcg@1 : 0.717695
[LightGBM] [Info] Iteration:35, valid_1 ndcg@3 : 0.71915
[LightGBM] [Info] Iteration:35, valid_1 ndcg@5 : 0.737322
[LightGBM] [Info] Iteration:35, valid_1 ndcg@10 : 0.780879
[LightGBM] [Info] 10.433788 seconds elapsed, finished iteration 35
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:36, valid_1 ndcg@1 : 0.716895
[LightGBM] [Info] Iteration:36, valid_1 ndcg@3 : 0.71975
[LightGBM] [Info] Iteration:36, valid_1 ndcg@5 : 0.737831
[LightGBM] [Info] Iteration:36, valid_1 ndcg@10 : 0.780638
[LightGBM] [Info] 10.679693 seconds elapsed, finished iteration 36
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:37, valid_1 ndcg@1 : 0.718173
[LightGBM] [Info] Iteration:37, valid_1 ndcg@3 : 0.719588
[LightGBM] [Info] Iteration:37, valid_1 ndcg@5 : 0.737782
[LightGBM] [Info] Iteration:37, valid_1 ndcg@10 : 0.781081
[LightGBM] [Info] 10.931457 seconds elapsed, finished iteration 37
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:38, valid_1 ndcg@1 : 0.719071
[LightGBM] [Info] Iteration:38, valid_1 ndcg@3 : 0.720094
[LightGBM] [Info] Iteration:38, valid_1 ndcg@5 : 0.738534
[LightGBM] [Info] Iteration:38, valid_1 ndcg@10 : 0.781755
[LightGBM] [Info] 11.179581 seconds elapsed, finished iteration 38
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:39, valid_1 ndcg@1 : 0.718538
[LightGBM] [Info] Iteration:39, valid_1 ndcg@3 : 0.719961
[LightGBM] [Info] Iteration:39, valid_1 ndcg@5 : 0.738752
[LightGBM] [Info] Iteration:39, valid_1 ndcg@10 : 0.781802
[LightGBM] [Info] 11.422609 seconds elapsed, finished iteration 39
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:40, valid_1 ndcg@1 : 0.718942
[LightGBM] [Info] Iteration:40, valid_1 ndcg@3 : 0.720751
[LightGBM] [Info] Iteration:40, valid_1 ndcg@5 : 0.738596
[LightGBM] [Info] Iteration:40, valid_1 ndcg@10 : 0.78209
[LightGBM] [Info] 11.674685 seconds elapsed, finished iteration 40
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:41, valid_1 ndcg@1 : 0.718752
[LightGBM] [Info] Iteration:41, valid_1 ndcg@3 : 0.720645
[LightGBM] [Info] Iteration:41, valid_1 ndcg@5 : 0.738981
[LightGBM] [Info] Iteration:41, valid_1 ndcg@10 : 0.782031
