[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 10.135371 seconds
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.327163 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Iteration:42, valid_1 ndcg@5 : 0.490745
[LightGBM] [Info] Iteration:42, valid_1 ndcg@10 : 0.508801
[LightGBM] [Info] 16.803046 seconds elapsed, finished iteration 42
[LightGBM] [Info] Iteration:43, valid_1 ndcg@1 : 0.504072
[LightGBM] [Info] Iteration:43, valid_1 ndcg@3 : 0.48691
[LightGBM] [Info] Iteration:43, valid_1 ndcg@5 : 0.491148
[LightGBM] [Info] Iteration:43, valid_1 ndcg@10 : 0.509041
[LightGBM] [Info] 17.220135 seconds elapsed, finished iteration 43
[LightGBM] [Info] Iteration:44, valid_1 ndcg@1 : 0.503543
[LightGBM] [Info] Iteration:44, valid_1 ndcg@3 : 0.487163
[LightGBM] [Info] Iteration:44, valid_1 ndcg@5 : 0.491495
[LightGBM] [Info] Iteration:44, valid_1 ndcg@10 : 0.509426
[LightGBM] [Info] 17.604898 seconds elapsed, finished iteration 44
[LightGBM] [Info] Iteration:45, valid_1 ndcg@1 : 0.504046
[LightGBM] [Info] Iteration:45, valid_1 ndcg@3 : 0.487743
[LightGBM] [Info] Iteration:45, valid_1 ndcg@5 : 0.491623
[LightGBM] [Info] Iteration:45, valid_1 ndcg@10 : 0.509606
[LightGBM] [Info] 17.996025 seconds elapsed, finished iteration 45
[LightGBM] [Info] Iteration:46, valid_1 ndcg@1 : 0.504763
[LightGBM] [Info] Iteration:46, valid_1 ndcg@3 : 0.487849
[LightGBM] [Info] Iteration:46, valid_1 ndcg@5 : 0.492244
[LightGBM] [Info] Iteration:46, valid_1 ndcg@10 : 0.510004
[LightGBM] [Info] 18.425470 seconds elapsed, finished iteration 46
[LightGBM] [Info] Iteration:47, valid_1 ndcg@1 : 0.504543
[LightGBM] [Info] Iteration:47, valid_1 ndcg@3 : 0.487339
[LightGBM] [Info] Iteration:47, valid_1 ndcg@5 : 0.492481
[LightGBM] [Info] Iteration:47, valid_1 ndcg@10 : 0.5105
[LightGBM] [Info] 18.831616 seconds elapsed, finished iteration 47
[LightGBM] [Info] Iteration:48, valid_1 ndcg@1 : 0.504806
[LightGBM] [Info] Iteration:48, valid_1 ndcg@3 : 0.487697
[LightGBM] [Info] Iteration:48, valid_1 ndcg@5 : 0.492913
[LightGBM] [Info] Iteration:48, valid_1 ndcg@10 : 0.510764
[LightGBM] [Info] 19.225301 seconds elapsed, finished iteration 48
[LightGBM] [Info] Iteration:49, valid_1 ndcg@1 : 0.504714
[LightGBM] [Info] Iteration:49, valid_1 ndcg@3 : 0.488177
[LightGBM] [Info] Iteration:49, valid_1 ndcg@5 : 0.493166
[LightGBM] [Info] Iteration:49, valid_1 ndcg@10 : 0.51117
[LightGBM] [Info] 19.611783 seconds elapsed, finished iteration 49
[LightGBM] [Info] Iteration:50, valid_1 ndcg@1 : 0.504783
[LightGBM] [Info] Iteration:50, valid_1 ndcg@3 : 0.4885
[LightGBM] [Info] Iteration:50, valid_1 ndcg@5 : 0.49306
[LightGBM] [Info] Iteration:50, valid_1 ndcg@10 : 0.511541
[LightGBM] [Info] 20.005616 seconds elapsed, finished iteration 50
[LightGBM] [Info] Iteration:51, valid_1 ndcg@1 : 0.504685
[LightGBM] [Info] Iteration:51, valid_1 ndcg@3 : 0.488473
[LightGBM] [Info] Iteration:51, valid_1 ndcg@5 : 0.493213
[LightGBM] [Info] Iteration:51, valid_1 ndcg@10 : 0.511312
[LightGBM] [Info] 20.391474 seconds elapsed, finished iteration 51
[LightGBM] [Info] Iteration:52, valid_1 ndcg@1 : 0.505306
[LightGBM] [Info] Iteration:52, valid_1 ndcg@3 : 0.489259
[LightGBM] [Info] Iteration:52, valid_1 ndcg@5 : 0.493172
[LightGBM] [Info] Iteration:52, valid_1 ndcg@10 : 0.511683
[LightGBM] [Info] 20.788224 seconds elapsed, finished iteration 52
[LightGBM] [Info] Iteration:53, valid_1 ndcg@1 : 0.504806
[LightGBM] [Info] Iteration:53, valid_1 ndcg@3 : 0.489695
[LightGBM] [Info] Iteration:53, valid_1 ndcg@5 : 0.493222
[LightGBM] [Info] Iteration:53, valid_1 ndcg@10 : 0.511671
[LightGBM] [Info] 21.177560 seconds elapsed, finished iteration 53
[LightGBM] [Info] Iteration:54, valid_1 ndcg@1 : 0.505482
[LightGBM] [Info] Iteration:54, valid_1 ndcg@3 : 0.490143
[LightGBM] [Info] Iteration:54, valid_1 ndcg@5 : 0.493931
[LightGBM] [Info] Iteration:54, valid_1 ndcg@10 : 0.512364
[LightGBM] [Info] 21.562880 seconds elapsed, finished iteration 54
[LightGBM] [Info] Iteration:55, valid_1 ndcg@1 : 0.505955
[LightGBM] [Info] Iteration:55, valid_1 ndcg@3 : 0.490398
[LightGBM] [Info] Iteration:55, valid_1 ndcg@5 : 0.494177
[LightGBM] [Info] Iteration:55, valid_1 ndcg@10 : 0.512731
[LightGBM] [Info] 21.942055 seconds elapsed, finished iteration 55
[LightGBM] [Info] Iteration:56, valid_1 ndcg@1 : 0.507082
[LightGBM] [Info] Iteration:56, valid_1 ndcg@3 : 0.491108
[LightGBM] [Info] Iteration:56, valid_1 ndcg@5 : 0.494565
[LightGBM] [Info] Iteration:56, valid_1 ndcg@10 : 0.513199
[LightGBM] [Info] 22.361410 seconds elapsed, finished iteration 56
[LightGBM] [Info] Iteration:57, valid_1 ndcg@1 : 0.507785
[LightGBM] [Info] Iteration:57, valid_1 ndcg@3 : 0.490491
[LightGBM] [Info] Iteration:57, valid_1 ndcg@5 : 0.494382
[LightGBM] [Info] Iteration:57, valid_1 ndcg@10 : 0.51321
[LightGBM] [Info] 22.744852 seconds elapsed, finished iteration 57
[LightGBM] [Info] Iteration:58, valid_1 ndcg@1 : 0.507018
[LightGBM] [Info] Iteration:58, valid_1 ndcg@3 : 0.489984
[LightGBM] [Info] Iteration:58, valid_1 ndcg@5 : 0.494454
[LightGBM] [Info] Iteration:58, valid_1 ndcg@10 : 0.51363
[LightGBM] [Info] 23.141648 seconds elapsed, finished iteration 58
[LightGBM] [Info] Iteration:59, valid_1 ndcg@1 : 0.508865
[LightGBM] [Info] Iteration:59, valid_1 ndcg@3 : 0.49093
[LightGBM] [Info] Iteration:59, valid_1 ndcg@5 : 0.495093
[LightGBM] [Info] Iteration:59, valid_1 ndcg@10 : 0.514077
[LightGBM] [Info] 23.566563 seconds elapsed, finished iteration 59
